player_id,modalidade,clube,escalao,escalao_texto,jogos,golos
1842336,Futsal,FC Porto,13,Jun.D S13,1,3
1842336,Futebol,FC Porto,15,Jun.C S15 F,4,10
1971388,Futebol,FC Porto,15,Jun.C S15 D,1,0
1971388,Futsal,FC Porto,13,Jun.D S13 B,3,0
2056562,Futebol,SC Braga,13,Fut.9  Jun.D S13 D,6,3
2151404,Futsal,FC Porto,11,Jun.E S11,1,0
2151404,Futebol,FC Porto,12,Fut.9  Jun.D S12,8,3
2184230,Futebol,FC Porto,15,Jun.C S15 D,1,0
2184230,Futsal,FC Porto,13,Jun.D S13 B,2,0
2266390,Futebol,FC Porto,15,Jun.C S15 F,5,2
2266390,Futsal,FC Porto,13,Jun.D S13,4,6
2267012,Futebol,FC Porto,17,Jun.B S17 C,24,3
